Room_id,Name
B001,Classroom B001
B002,Classroom B002
B003,Classroom B003
B004,Classroom B004
B005,Classroom B005
B006,Classroom B006
B007,Classroom B007
B008,LAB B008
B009,Classroom B009
B010,Classroom B010
B011,Classroom B011
B012,Classroom B012
B013,Classroom B013
B014,Classroom B014
B015,Classroom B015
B101,Classroom B101
B102,Classroom B102
B103,Classroom B103
B104,Classroom B104
B105,Classroom B105
B106,Classroom B106
B107,Classroom B107
B108,Classroom B108
B109,Classroom B109
B110,Classroom B110
B111,Classroom B111
B112,Classroom B112
B113,Classroom B113
B114,Classroom B114
B115,LAB B115
B116,Classroom B116
B117,Classroom B117
B118,Classroom B118
B119,Classroom B119
B201,Classroom B201
B202,Classroom B202
B203,Classroom B203
B204,Classroom B204
B205,Classroom B205
B206,Classroom B206
B207,Classroom B207
B208,Classroom B208
B209,Classroom B209
B210,Classroom B210
B211,Classroom B211
B212,Classroom B212
B213,Classroom B213
B214,Classroom B214
B215,LAB B215
